SETTLEMENTDATE,REGIONID,RRP,TOTALDEMAND
2025-01-01 00:05:00,NSW1,138.0279,7251.07
2025-01-01 00:05:00,QLD1,154.30294,6444.99
2025-01-01 00:05:00,SA1,141.4772,1379.47
2025-01-01 00:05:00,TAS1,125.17761,989.78
2025-01-01 00:05:00,VIC1,130.0,4339.0
2025-01-01 00:10:00,NSW1,134.41651,7297.85
2025-01-01 00:10:00,QLD1,150.4218,6469.55
2025-01-01 00:10:00,SA1,136.58563,1367.61
2025-01-01 00:10:00,TAS1,120.28,991.04
2025-01-01 00:10:00,VIC1,125.5,4310.79
2025-01-01 00:15:00,NSW1,135.89,7274.39
2025-01-01 00:15:00,QLD1,150.07326,6410.01
2025-01-01 00:15:00,SA1,142.05217,1379.99
2025-01-01 00:15:00,TAS1,129.97176,991.23
2025-01-01 00:15:00,VIC1,129.0234,4243.74
2025-01-01 00:20:00,NSW1,120.30552,7173.05
2025-01-01 00:20:00,QLD1,132.58249,6344.94
2025-01-01 00:20:00,SA1,129.64224,1380.91
2025-01-01 00:20:00,TAS1,118.28,985.66
2025-01-01 00:20:00,VIC1,116.96976,4269.83
2025-01-01 00:25:00,NSW1,119.88874,7140.49
2025-01-01 00:25:00,QLD1,132.07553,6354.61
2025-01-01 00:25:00,SA1,129.51666,1369.41
2025-01-01 00:25:00,TAS1,118.28,970.26
2025-01-01 00:25:00,VIC1,116.49766,4242.11
2025-01-01 00:30:00,NSW1,121.87,7162.36
2025-01-01 00:30:00,QLD1,133.38034,6308.87
2025-01-01 00:30:00,SA1,134.71659,1379.09
2025-01-01 00:30:00,TAS1,118.28,974.7
2025-01-01 00:30:00,VIC1,119.44363,4217.03
2025-01-01 00:35:00,NSW1,111.65192,7078.85
2025-01-01 00:35:00,QLD1,122.95,6353.95
2025-01-01 00:35:00,SA1,122.94654,1364.22
2025-01-01 00:35:00,TAS1,113.22956,982.2
2025-01-01 00:35:00,VIC1,110.18153,4194.26
2025-01-01 00:40:00,NSW1,119.04851,7051.56
2025-01-01 00:40:00,QLD1,129.42258,6310.83
2025-01-01 00:40:00,SA1,134.265,1390.67
2025-01-01 00:40:00,TAS1,120.28,983.62
2025-01-01 00:40:00,VIC1,118.57675,4196.62
2025-01-01 00:45:00,NSW1,119.49351,7029.33
2025-01-01 00:45:00,QLD1,129.06221,6291.47
2025-01-01 00:45:00,SA1,135.8589,1392.95
2025-01-01 00:45:00,TAS1,120.28,982.27
2025-01-01 00:45:00,VIC1,119.08086,4160.17
2025-01-01 00:50:00,NSW1,115.95158,6941.93
2025-01-01 00:50:00,QLD1,125.13422,6285.77
2025-01-01 00:50:00,SA1,134.18729,1391.86
2025-01-01 00:50:00,TAS1,119.28,979.44
2025-01-01 00:50:00,VIC1,117.28982,4158.5
2025-01-01 00:55:00,NSW1,128.51108,6962.78
2025-01-01 00:55:00,QLD1,138.67635,6274.68
2025-01-01 00:55:00,SA1,149.7363,1397.91
2025-01-01 00:55:00,TAS1,122.60369,976.86
2025-01-01 00:55:00,VIC1,130.0,4155.03
2025-01-01 01:00:00,NSW1,116.72427,6970.56
2025-01-01 01:00:00,QLD1,124.2845,6196.03
2025-01-01 01:00:00,SA1,137.8,1412.06
2025-01-01 01:00:00,TAS1,120.28,971.28
2025-01-01 01:00:00,VIC1,119.10128,4127.38
2025-01-01 01:05:00,NSW1,116.33505,6949.87
2025-01-01 01:05:00,QLD1,123.10438,6195.0
2025-01-01 01:05:00,SA1,137.80534,1400.86
2025-01-01 01:05:00,TAS1,120.28,977.2
2025-01-01 01:05:00,VIC1,118.62578,4102.84
2025-01-01 01:10:00,NSW1,109.74,6960.56
2025-01-01 01:10:00,QLD1,115.28335,6125.33
2025-01-01 01:10:00,SA1,140.53788,1400.32
2025-01-01 01:10:00,TAS1,120.28,979.61
2025-01-01 01:10:00,VIC1,119.19916,4124.8
2025-01-01 01:15:00,NSW1,107.54,6899.02
2025-01-01 01:15:00,QLD1,113.69276,6165.23
2025-01-01 01:15:00,SA1,126.75638,1382.17
2025-01-01 01:15:00,TAS1,111.20585,979.08
2025-01-01 01:15:00,VIC1,109.60906,4088.19
2025-01-01 01:20:00,NSW1,117.08646,6807.22
2025-01-01 01:20:00,QLD1,126.20151,6283.96
2025-01-01 01:20:00,SA1,141.56525,1381.77
2025-01-01 01:20:00,TAS1,120.28,979.75
2025-01-01 01:20:00,VIC1,119.39421,4068.73
2025-01-01 01:25:00,NSW1,113.44395,6794.64
2025-01-01 01:25:00,QLD1,122.95,6264.83
2025-01-01 01:25:00,SA1,133.43728,1352.41
2025-01-01 01:25:00,TAS1,117.19715,980.39
2025-01-01 01:25:00,VIC1,115.48474,4049.82
2025-01-01 01:30:00,NSW1,109.74,6745.76
2025-01-01 01:30:00,QLD1,120.38136,6301.08
2025-01-01 01:30:00,SA1,127.7232,1345.97
2025-01-01 01:30:00,TAS1,112.74417,977.77
2025-01-01 01:30:00,VIC1,110.8431,4000.47
2025-01-01 01:35:00,NSW1,109.69,6720.28
2025-01-01 01:35:00,QLD1,120.22353,6264.52
2025-01-01 01:35:00,SA1,126.60751,1333.69
2025-01-01 01:35:00,TAS1,112.19486,979.16
2025-01-01 01:35:00,VIC1,110.69667,4002.96
2025-01-01 01:40:00,NSW1,104.4999,6712.49
2025-01-01 01:40:00,QLD1,111.65674,6169.67
2025-01-01 01:40:00,SA1,121.6224,1339.52
2025-01-01 01:40:00,TAS1,107.88445,975.34
2025-01-01 01:40:00,VIC1,106.30272,3999.07
2025-01-01 01:45:00,NSW1,104.5,6690.95
2025-01-01 01:45:00,QLD1,112.29053,6176.49
2025-01-01 01:45:00,SA1,121.35633,1325.64
2025-01-01 01:45:00,TAS1,107.75551,979.58
2025-01-01 01:45:00,VIC1,106.17626,3997.75
2025-01-01 01:50:00,NSW1,103.24174,6652.11
2025-01-01 01:50:00,QLD1,110.82993,6120.73
2025-01-01 01:50:00,SA1,119.17032,1334.25
2025-01-01 01:50:00,TAS1,105.24431,973.69
2025-01-01 01:50:00,VIC1,104.15217,3950.42
2025-01-01 01:55:00,NSW1,103.94915,6571.64
2025-01-01 01:55:00,QLD1,110.83,6125.83
2025-01-01 01:55:00,SA1,119.83468,1327.28
2025-01-01 01:55:00,TAS1,106.31118,976.26
2025-01-01 01:55:00,VIC1,104.80788,3961.03
2025-01-01 02:00:00,NSW1,104.5,6590.09
2025-01-01 02:00:00,QLD1,110.83,6075.98
2025-01-01 02:00:00,SA1,119.43421,1318.02
2025-01-01 02:00:00,TAS1,105.41538,971.98
2025-01-01 02:00:00,VIC1,104.47586,3922.86
2025-01-01 02:05:00,NSW1,104.5,6536.66
2025-01-01 02:05:00,QLD1,110.83,6037.42
2025-01-01 02:05:00,SA1,119.35486,1317.73
2025-01-01 02:05:00,TAS1,105.30792,973.79
2025-01-01 02:05:00,VIC1,104.43893,3917.03
2025-01-01 02:10:00,NSW1,105.41535,6568.22
2025-01-01 02:10:00,QLD1,110.83,6013.74
2025-01-01 02:10:00,SA1,120.88709,1317.66
2025-01-01 02:10:00,TAS1,106.32262,976.9
2025-01-01 02:10:00,VIC1,105.37026,3883.1
2025-01-01 02:15:00,NSW1,104.5,6488.58
2025-01-01 02:15:00,QLD1,110.83,6021.87
2025-01-01 02:15:00,SA1,117.48498,1300.92
2025-01-01 02:15:00,TAS1,103.56332,971.97
2025-01-01 02:15:00,VIC1,102.76831,3838.28
2025-01-01 02:20:00,NSW1,104.5,6459.04
2025-01-01 02:20:00,QLD1,110.83,6026.63
2025-01-01 02:20:00,SA1,118.23012,1292.24
2025-01-01 02:20:00,TAS1,104.37187,974.33
2025-01-01 02:20:00,VIC1,103.51613,3869.16
2025-01-01 02:25:00,NSW1,104.4999,6508.42
2025-01-01 02:25:00,QLD1,109.64827,5913.03
2025-01-01 02:25:00,SA1,115.85026,1276.43
2025-01-01 02:25:00,TAS1,102.3769,971.82
2025-01-01 02:25:00,VIC1,101.8166,3830.64
2025-01-01 02:30:00,NSW1,104.4999,6439.9
2025-01-01 02:30:00,QLD1,110.83,5996.76
2025-01-01 02:30:00,SA1,114.8896,1266.74
2025-01-01 02:30:00,TAS1,99.42798,968.1
2025-01-01 02:30:00,VIC1,100.98738,3806.88
2025-01-01 02:35:00,NSW1,104.5,6407.11
2025-01-01 02:35:00,QLD1,110.83,5940.64
2025-01-01 02:35:00,SA1,113.5067,1250.48
2025-01-01 02:35:00,TAS1,87.79468,969.96
2025-01-01 02:35:00,VIC1,100.13052,3769.81
2025-01-01 02:40:00,NSW1,104.5,6403.53
2025-01-01 02:40:00,QLD1,110.83,5939.04
2025-01-01 02:40:00,SA1,112.24809,1241.53
2025-01-01 02:40:00,TAS1,84.4017,963.95
2025-01-01 02:40:00,VIC1,100.07648,3787.87
2025-01-01 02:45:00,NSW1,104.16032,6382.74
2025-01-01 02:45:00,QLD1,109.84588,5928.56
2025-01-01 02:45:00,SA1,110.73027,1242.36
2025-01-01 02:45:00,TAS1,83.13017,956.75
2025-01-01 02:45:00,VIC1,99.0,3765.55
2025-01-01 02:50:00,NSW1,103.39668,6368.9
2025-01-01 02:50:00,QLD1,108.32103,5885.91
2025-01-01 02:50:00,SA1,110.66581,1233.47
2025-01-01 02:50:00,TAS1,83.4706,954.25
2025-01-01 02:50:00,VIC1,99.0,3775.7
2025-01-01 02:55:00,NSW1,103.36434,6350.32
2025-01-01 02:55:00,QLD1,108.24292,5861.34
2025-01-01 02:55:00,SA1,111.11291,1237.9
2025-01-01 02:55:00,TAS1,83.46422,958.48
2025-01-01 02:55:00,VIC1,99.0,3739.82
2025-01-01 03:00:00,NSW1,102.58093,6297.55
2025-01-01 03:00:00,QLD1,107.3631,5865.59
2025-01-01 03:00:00,SA1,111.06789,1236.73
2025-01-01 03:00:00,TAS1,82.31785,959.46
2025-01-01 03:00:00,VIC1,99.0,3752.65
2025-01-01 03:05:00,NSW1,104.24862,6356.19
2025-01-01 03:05:00,QLD1,109.11327,5841.7
2025-01-01 03:05:00,SA1,111.07089,1231.34
2025-01-01 03:05:00,TAS1,84.15996,972.13
2025-01-01 03:05:00,VIC1,99.0,3725.24
2025-01-01 03:10:00,NSW1,102.54439,6297.22
2025-01-01 03:10:00,QLD1,105.92589,5797.82
2025-01-01 03:10:00,SA1,111.51593,1240.87
2025-01-01 03:10:00,TAS1,83.12592,967.07
2025-01-01 03:10:00,VIC1,99.0,3720.96
2025-01-01 03:15:00,NSW1,105.11788,6348.26
2025-01-01 03:15:00,QLD1,110.83007,5919.18
2025-01-01 03:15:00,SA1,112.35614,1248.69
2025-01-01 03:15:00,TAS1,83.65606,971.04
2025-01-01 03:15:00,VIC1,99.82421,3738.48
2025-01-01 03:20:00,NSW1,102.02,6275.24
2025-01-01 03:20:00,QLD1,105.38174,5790.9
2025-01-01 03:20:00,SA1,109.53933,1220.11
2025-01-01 03:20:00,TAS1,82.25369,965.58
2025-01-01 03:20:00,VIC1,98.35416,3733.99
2025-01-01 03:25:00,NSW1,103.6051,6240.06
2025-01-01 03:25:00,QLD1,109.00973,5841.79
2025-01-01 03:25:00,SA1,109.7279,1203.62
2025-01-01 03:25:00,TAS1,82.24185,949.45
2025-01-01 03:25:00,VIC1,99.0,3787.79
2025-01-01 03:30:00,NSW1,104.35396,6266.13
2025-01-01 03:30:00,QLD1,109.80053,5830.87
2025-01-01 03:30:00,SA1,110.2421,1209.55
2025-01-01 03:30:00,TAS1,81.84444,962.29
2025-01-01 03:30:00,VIC1,99.0,3730.21
2025-01-01 03:35:00,NSW1,103.60848,6229.95
2025-01-01 03:35:00,QLD1,108.2457,5783.46
2025-01-01 03:35:00,SA1,109.82153,1197.39
2025-01-01 03:35:00,TAS1,84.25008,962.99
2025-01-01 03:35:00,VIC1,99.0,3722.16
2025-01-01 03:40:00,NSW1,105.74,6315.79
2025-01-01 03:40:00,QLD1,110.53455,5785.08
2025-01-01 03:40:00,SA1,112.63888,1226.1
2025-01-01 03:40:00,TAS1,84.70322,966.92
2025-01-01 03:40:00,VIC1,101.05574,3745.7
2025-01-01 03:45:00,NSW1,104.5,6278.14
2025-01-01 03:45:00,QLD1,110.04518,5860.26
2025-01-01 03:45:00,SA1,110.39517,1191.99
2025-01-01 03:45:00,TAS1,87.65312,977.42
2025-01-01 03:45:00,VIC1,99.04277,3708.85
2025-01-01 03:50:00,NSW1,103.68746,6280.26
2025-01-01 03:50:00,QLD1,107.69725,5764.94
